title,Year,average_rating,rating_count,Animation,Adventure,Mystery,Drama,Action,Romance,Musical,Comedy,Thriller,Crime,Documentary,Children,Sci-Fi,IMAX,Western,Fantasy,Horror
Black Panther (2017),2017.0,3.21,1913,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sin City (2005),2005.0,4.12,1906,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Shaun of the Dead (2004),2004.0,4.18,1848,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Lost in Translation (2003),2003.0,4.27,1834,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
The Butterfly Effect (2004),2004.0,3.85,1803,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Scott Pilgrim vs. the World (2010),2010.0,4.09,1772,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
"Big Short, The (2015)",2015.0,4.14,1766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Boy (2003),2003.0,4.25,1753,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Hateful Eight (2015),2015.0,4.09,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thor: Ragnarok (2017),2017.0,3.77,1720,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Oblivion (2013),2013.0,3.77,1716,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003.0,3.99,1709,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Rogue One: A Star Wars Story (2016),2016.0,3.93,1687,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Ocean's Eleven (2001),2001.0,4.01,1671,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Once Upon a Time in Hollywood (2019),2019.0,3.22,1659,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bourne Identity, The (2002)",2002.0,4.19,1654,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Social Network, The (2010)",2010.0,4.16,1630,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dark Knight Rises, The (2012)",2012.0,3.8,1534,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Nightcrawler (2014),2014.0,4.26,1520,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
(500) Days of Summer (2009),2009.0,4.16,1520,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Prometheus (2012),2012.0,3.4,1498,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
Guardians of the Galaxy 2 (2017),2017.0,4.19,1495,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Cabin in the Woods, The (2012)",2012.0,4.07,1491,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
The Lighthouse (2019),2019.0,3.8,1485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Serenity (2005),2005.0,4.33,1480,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Three Billboards Outside Ebbing, Missouri (2017)",2017.0,4.25,1473,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lobster (2015),2015.0,3.24,1463,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"Fountain, The (2006)",2006.0,4.14,1453,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Little Miss Sunshine (2006),2006.0,4.26,1449,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Thor (2011),2011.0,2.87,1420,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Minority Report (2002),2002.0,4.07,1386,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
28 Days Later (2002),2002.0,4.11,1373,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Birdman: Or (The Unexpected Virtue of Ignorance) (2014),2014.0,3.91,1369,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Batman (2022),2022.0,3.62,1367,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Sherlock Holmes (2009),2009.0,3.73,1334,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith (2005),2005.0,2.83,1326,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"I, Robot (2004)",2004.0,3.85,1318,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Into the Wild (2007),2007.0,4.28,1314,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tron: Legacy (2010),2010.0,3.86,1310,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),2001.0,3.73,1302,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Prisoners (2013),2013.0,4.3,1299,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Avengers: Age of Ultron (2015),2015.0,2.85,1299,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Untitled Spider-Man Reboot (2017),2017.0,3.45,1297,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Kingsman: The Secret Service (2015),2015.0,3.93,1295,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Love Actually (2003),2003.0,4.0,1288,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Star Wars: The Last Jedi (2017),2017.0,2.87,1284,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"King's Speech, The (2010)",2010.0,4.16,1271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
There Will Be Blood (2007),2007.0,4.28,1270,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Perks of Being a Wallflower, The (2012)",2012.0,4.23,1259,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Predestination (2014),2014.0,4.21,1234,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
The Platform (2019),2019.0,3.5,1226,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
City of God (Cidade de Deus) (2002),2002.0,4.2,1226,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Your Name. (2016),2016.0,4.46,1220,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Kick-Ass (2010),2010.0,3.95,1216,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Captain Marvel (2018),2018.0,3.16,1215,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Matrix Reloaded, The (2003)",2003.0,3.69,1206,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"Man from Earth, The (2007)",2007.0,4.32,1182,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Silver Linings Playbook (2012),2012.0,4.1,1173,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones (2002),2002.0,2.42,1171,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Captain America: The First Avenger (2011),2011.0,2.57,1167,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Midnight in Paris (2011),2011.0,4.15,1157,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
The Machinist (2004),2004.0,4.01,1155,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Baby Driver (2017),2017.0,3.94,1154,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Life Aquatic with Steve Zissou, The (2004)",2004.0,4.27,1153,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
About Time (2013),2013.0,4.31,1150,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Isle of Dogs (2018),2018.0,4.2,1148,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Revenant (2015),2015.0,3.93,1147,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"O Brother, Where Art Thou? (2000)",2000.0,4.3,1142,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Stranger than Fiction (2006),2006.0,4.09,1098,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Doctor Strange (2016),2016.0,4.03,1082,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Hobbit: An Unexpected Journey, The (2012)",2012.0,3.62,1075,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The Witch (2015),2015.0,3.96,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Nice Guys (2016),2016.0,3.8,1063,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jumanji: Welcome to the Jungle (2017),2017.0,3.32,1061,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Captain America: Civil War (2016),2016.0,3.02,1060,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Valerian and the City of a Thousand Planets (2017),2017.0,2.08,1059,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Island, The (2005)",2005.0,3.53,1053,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Pianist, The (2002)",2002.0,4.17,1053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hangover, The (2009)",2009.0,3.45,1052,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Girl with the Dragon Tattoo, The (2011)",2011.0,4.16,1049,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ant-Man and the Wasp (2018),2018.0,3.04,1048,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Cast Away (2000),2000.0,4.15,1045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier (2014),2014.0,3.77,1043,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Curious Case of Benjamin Button, The (2008)",2008.0,4.05,1034,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Coherence (2013),2013.0,4.25,1017,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Blue Is the Warmest Color (La vie d'Adèle) (2013),2013.0,3.56,1010,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunshine (2007),2007.0,3.76,1007,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Matrix Revolutions, The (2003)",2003.0,3.45,996,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"Book of Eli, The (2010)",2010.0,3.32,995,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Others, The (2001)",2001.0,4.04,989,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Burn After Reading (2008),2008.0,3.96,970,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Adaptation (2002),2002.0,4.15,966,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
World War Z (2013),2013.0,3.15,949,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"Incredibles, The (2004)",2004.0,4.06,944,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
The Handmaiden (2016),2016.0,4.21,942,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban (2004),2004.0,4.14,940,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006.0,3.7,940,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Monsters, Inc. (2001)",2001.0,4.02,929,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Secretary (2002),2002.0,4.23,912,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Seven Psychopaths (2012),2012.0,3.42,897,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
The Shape of Water (2017),2017.0,3.61,893,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Life of Pi (2012),2012.0,3.91,889,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Harry Potter and the Chamber of Secrets (2002),2002.0,3.81,886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X2: X-Men United (2003),2003.0,3.5,883,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Bourne Ultimatum, The (2007)",2007.0,4.02,880,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Call Me by Your Name (2017),2017.0,3.94,879,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Spotlight (2015),2015.0,4.22,873,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toy Story 3 (2010),2010.0,3.74,868,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
X-Men: Days of Future Past (2014),2014.0,3.59,864,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
It Follows (2014),2014.0,3.59,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mother! (2017),2017.0,3.14,860,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Bad Times at the El Royale (2018),2018.0,4.1,860,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Under the Skin (2013),2013.0,2.9,853,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
What We Do in the Shadows (2014),2014.0,4.16,851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Secret Life of Walter Mitty, The (2013)",2013.0,3.97,846,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hunt, The (Jagten) (2012)",2012.0,4.19,841,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Mr. Fox (2009),2009.0,4.23,840,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Now You See Me (2013),2013.0,3.54,839,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Thor: The Dark World (2013),2013.0,3.15,836,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Hitchhiker's Guide to the Galaxy, The (2005)",2005.0,3.8,835,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Million Dollar Baby (2004),2004.0,4.03,831,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pursuit of Happyness, The (2006)",2006.0,4.37,821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy A (2010),2010.0,3.82,819,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Free Guy (2020),2020.0,3.57,815,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Scanner Darkly, A (2006)",2006.0,4.39,811,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fall, The (2006)",2006.0,4.53,808,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Enemy (2013),2013.0,3.74,806,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Amazing Spider-Man, The (2012)",2012.0,3.45,802,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Village, The (2004)",2004.0,3.74,798,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1 (2010),2010.0,3.94,793,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Room, The (2003)",2003.0,2.17,792,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Lord of War (2005),2005.0,4.08,791,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire (2005),2005.0,3.95,786,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Dawn of the Dead (2004),2004.0,4.31,785,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Hacksaw Ridge (2016),2016.0,4.02,782,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator: Dark Fate (2019),2019.0,3.5,778,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Da Vinci Code, The (2006)",2006.0,3.13,778,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Illusionist, The (2006)",2006.0,3.99,777,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Mystic River (2003),2003.0,3.96,773,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Accountant (2016),2016.0,3.64,773,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"40-Year-Old Virgin, The (2005)",2005.0,3.62,772,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Waking Life (2001),2001.0,4.27,760,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Thank You for Smoking (2006),2006.0,4.17,759,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Identity (2003),2003.0,3.69,759,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Notebook, The (2004)",2004.0,3.83,757,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ad Astra (2019),2019.0,2.94,756,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Terminator Salvation (2009),2009.0,3.03,755,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Mean Girls (2004),2004.0,3.98,755,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jurassic World (2015),2015.0,3.13,752,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Shang-Chi and the Legend of the Ten Rings (2021),2021.0,3.36,752,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Red (2010),2010.0,4.07,749,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Terminal, The (2004)",2004.0,4.1,747,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Justice League (2017),2017.0,1.81,745,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Fantastic Beasts and Where to Find Them (2016),2016.0,3.91,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2000.0,4.01,733,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The Ritual (2017),2017.0,3.48,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",2009.0,3.92,729,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Last Samurai, The (2003)",2003.0,4.05,726,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Incredible Hulk, The (2008)",2008.0,2.13,720,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
In the Mood For Love (Fa yeung nin wa) (2000),2000.0,4.28,714,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Old (2021),2021.0,1.84,711,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dallas Buyers Club (2013),2013.0,3.94,711,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Help, The (2011)",2011.0,4.14,710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Old Guard (2020),2020.0,3.57,710,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
It (2017),2017.0,3.48,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bourne Supremacy, The (2004)",2004.0,3.96,703,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Ghost in the Shell (2017),2017.0,3.12,702,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
How to Train Your Dragon (2010),2010.0,4.36,701,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Sweeney Todd: The Demon Barber of Fleet Street (2007),2007.0,3.92,699,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Captain Fantastic (2016),2016.0,4.17,698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
War of the Worlds (2005),2005.0,3.2,693,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Day After Tomorrow, The (2004)",2004.0,3.45,691,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Cloverfield (2008),2008.0,3.49,685,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2 (2011),2011.0,4.13,677,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Game Night (2018),2018.0,3.96,675,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
X-Men: The Last Stand (2006),2006.0,3.04,674,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Mist, The (2007)",2007.0,3.53,671,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Happy Death Day (2017),2017.0,3.48,671,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Black Hawk Down (2001),2001.0,3.95,668,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince (2009),2009.0,3.85,667,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Brick (2005),2005.0,3.01,663,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wild Tales (2014),2014.0,4.27,661,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull (2008),2008.0,2.07,659,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
The Killing of a Sacred Deer (2017),2017.0,3.34,659,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Eastern Promises (2007),2007.0,4.12,659,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Lucky Number Slevin (2006),2006.0,4.22,648,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Doctor Strange in the Multiverse of Madness (2022),2022.0,3.24,646,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Click (2006),2006.0,2.9,646,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
Terminator 3: Rise of the Machines (2003),2003.0,3.11,644,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Synecdoche, New York (2008)",2008.0,4.3,642,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Italian Job, The (2003)",2003.0,3.73,641,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ted (2012),2012.0,3.04,640,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Terminator Genisys (2015),2015.0,2.16,638,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Up in the Air (2009),2009.0,4.03,638,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest (2006),2006.0,3.72,638,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Freddy vs. Jason (2003),2003.0,1.74,633,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Portrait of a Lady on Fire (2019),2019.0,3.89,632,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Color Out of Space (2019),2019.0,3.94,630,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Wolverine, The (2013)",2013.0,3.0,628,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
