,title,genres,Year,average_rating,rating_count
187314,Chappie (2015),Action|Thriller,2015.0,3.84,860
97388,Bad Times at the El Royale (2018),Horror|Thriller,2018.0,4.1,860
873212,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,2004.0,3.37,858
1042965,Under the Skin (2013),Horror|Sci-Fi|Thriller,2013.0,2.9,853
1080974,What We Do in the Shadows (2014),Comedy|Horror,2014.0,4.16,851
27847,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi,2001.0,3.84,850
350524,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance,2013.0,3.41,846
214022,Constantine (2005),Action|Fantasy|Horror|Thriller,2005.0,3.52,846
818689,"Secret Life of Walter Mitty, The (2013)",Adventure|Comedy|Drama,2013.0,3.97,846
918814,Taken (2008),Action|Crime|Drama|Thriller,2008.0,3.95,841
448148,"Hunt, The (Jagten) (2012)",Drama,2012.0,4.19,841
328463,Fantastic Mr. Fox (2009),Adventure|Animation|Children|Comedy|Crime,2009.0,4.23,840
657971,Moneyball (2011),Drama,2011.0,4.15,840
698154,Now You See Me (2013),Crime|Mystery|Thriller,2013.0,3.54,839
1012604,Thor: The Dark World (2013),Action|Adventure|Fantasy|IMAX,2013.0,3.15,836
430000,"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi,2005.0,3.8,835
648647,Million Dollar Baby (2004),Drama,2004.0,4.03,831
772808,"Pursuit of Happyness, The (2006)",Drama,2006.0,4.37,821
290534,Easy A (2010),Comedy|Romance,2010.0,3.82,819
346406,Free Guy (2020),Action|Adventure|Comedy|Sci-Fi,2020.0,3.57,815
221774,"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance,2011.0,3.96,815
882648,Split (2017),Drama|Horror|Thriller,2017.0,3.71,813
812433,"Scanner Darkly, A (2006)",Animation|Drama|Mystery|Sci-Fi|Thriller,2006.0,4.39,811
268307,Dogville (2003),Drama|Mystery|Thriller,2003.0,3.01,808
324916,"Fall, The (2006)",Adventure|Drama|Fantasy,2006.0,4.53,808
300663,Enemy (2013),Mystery|Thriller,2013.0,3.74,806
722566,Paddington 2 (2017),Adventure|Animation|Children|Comedy,2017.0,3.97,804
44420,"Amazing Spider-Man, The (2012)",Action|Adventure|Sci-Fi|IMAX,2012.0,3.45,802
762544,Pride & Prejudice (2005),Drama|Romance,2005.0,4.2,799
1064088,"Village, The (2004)",Drama|Mystery|Thriller,2004.0,3.74,798
407171,Harry Potter and the Deathly Hallows: Part 1 (2010),Action|Adventure|Fantasy|IMAX,2010.0,3.94,793
802683,"Room, The (2003)",Comedy|Drama|Romance,2003.0,2.17,792
592835,Lord of War (2005),Action|Crime|Drama|Thriller|War,2005.0,4.08,791
635411,Melancholia (2011),Drama|Sci-Fi,2011.0,3.96,786
408641,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX,2005.0,3.95,786
239195,Dawn of the Dead (2004),Action|Drama|Horror|Thriller,2004.0,4.31,785
397182,Hacksaw Ridge (2016),Drama|War,2016.0,4.02,782
888763,Star Trek Beyond (2016),Action|Adventure|Sci-Fi,2016.0,3.03,780
928332,Terminator: Dark Fate (2019),Action|Sci-Fi,2019.0,3.5,778
227339,"Da Vinci Code, The (2006)",Drama|Mystery|Thriller,2006.0,3.13,778
462967,"Illusionist, The (2006)",Drama|Fantasy|Mystery|Romance,2006.0,3.99,777
681420,Mystic River (2003),Crime|Drama|Mystery,2003.0,3.96,773
931198,The Accountant (2016),Crime|Drama|Thriller,2016.0,3.64,773
16072,"40-Year-Old Virgin, The (2005)",Comedy|Romance,2005.0,3.62,772
729664,Paprika (Papurika) (2006),Animation|Mystery|Sci-Fi,2006.0,4.21,764
1030721,Triangle (2009),Drama|Horror|Mystery|Thriller,2009.0,3.74,762
1069066,Waking Life (2001),Animation|Drama|Fantasy,2001.0,4.27,760
929997,Thank You for Smoking (2006),Comedy|Drama,2006.0,4.17,759
460855,Identity (2003),Crime|Horror|Mystery|Thriller,2003.0,3.69,759
214873,Contagion (2011),Sci-Fi|Thriller|IMAX,2011.0,3.02,757
696848,"Notebook, The (2004)",Drama|Romance,2004.0,3.83,757
1041758,Uncut Gems (2019),Comedy|Crime|Drama|Thriller,2019.0,3.58,756
32307,Ad Astra (2019),Adventure|Drama|Mystery|Sci-Fi|Thriller,2019.0,2.94,756
927577,Terminator Salvation (2009),Action|Adventure|Sci-Fi|Thriller,2009.0,3.03,755
633006,Mean Girls (2004),Comedy,2004.0,3.98,755
536529,Jurassic World (2015),Action|Adventure|Drama|Sci-Fi|Thriller,2015.0,3.13,752
829314,Shang-Chi and the Legend of the Ten Rings (2021),Action|Adventure|Fantasy,2021.0,3.36,752
488547,Inside Man (2006),Crime|Drama|Thriller,2006.0,3.91,750
781714,Red (2010),Action|Comedy,2010.0,4.07,749
925548,"Terminal, The (2004)",Comedy|Drama|Romance,2004.0,4.1,747
538411,Justice League (2017),Action|Adventure|Sci-Fi,2017.0,1.81,745
326222,Fantastic Beasts and Where to Find Them (2016),Fantasy,2016.0,3.91,743
68338,Argo (2012),Drama|Thriller,2012.0,4.0,736
1059446,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller,2001.0,3.71,734
224082,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,2000.0,4.01,733
992856,The Ritual (2017),Horror,2017.0,3.48,732
367770,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",Crime|Drama|Mystery|Thriller,2009.0,3.92,729
569586,"Last Samurai, The (2003)",Action|Adventure|Drama|War,2003.0,4.05,726
